,idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure,south_city
0,1,37,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Operatives,Union,11.74,48,10,5.33,Not south & Not central city
1,2,37,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Craftsmen,Union,6.4,40,14,5.25,Not south & Central city
2,3,42,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Sales,NotMentioned,5.02,40,18,1.25,Not south & Central city
3,4,43,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,9.03,42,13,1.75,Not south & Not central city
4,6,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Nonunion,8.08,48,18,17.75,Not south & Not central city
5,7,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,4.63,30,7,2.25,Not south & Not central city
6,9,37,White,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Managers/Admin,Union,10.49,40,19,19.0,Not south & Central city
7,12,40,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,17.21,45,16,14.17,Not south & Not central city
8,13,40,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,13.08,8,14,5.5,Not south & Not central city
9,14,40,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,7.75,50,7,2.25,Not south & Not central city
10,15,39,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Union,16.8,16,16,8.42,Not south & Not central city
11,16,40,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,15.48,40,16,13.83,Not south & Not central city
12,18,40,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Craftsmen,Nonunion,5.23,40,8,7.75,Not south & Not central city
13,19,40,White,Single,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Union,10.16,40,14,5.58,Not south & Not central city
14,20,39,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Union,9.66,4,16,4.67,Not south & Not central city
15,22,41,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.06,32,15,3.0,Not south & Not central city
16,23,42,White,Married,Has been married,15,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,8.05,45,15,8.08,Not south & Not central city
17,24,41,White,Married,Has been married,14,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,11.1,24,16,3.42,Not south & Not central city
18,25,42,White,Married,Has been married,14,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,9.58,40,18,5.42,Not south & Central city
19,36,37,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Clerical/Unskilled,NotMentioned,4.18,40,16,0.92,Not south & Not central city
20,39,44,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.79,40,9,7.92,Not south & Not central city
21,44,41,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Public administration,Professional/Technical,Union,28.46,35,16,3.5,Not south & Not central city
22,45,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Sales,Union,10.19,38,17,17.25,Not south & Not central city
23,46,44,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,3.05,25,6,2.92,Not south & Not central city
24,47,35,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Craftsmen,Nonunion,3.53,40,9,0.75,Not south & Not central city
25,48,35,White,Single,Has been married,15,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,NotMentioned,5.85,40,6,0.33,Not south & Central city
26,50,36,White,Single,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,NotMentioned,35.73,45,9,6.42,Not south & Central city
27,51,38,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,4.43,18,10,3.25,Not south & Not central city
